# Frequency(GHz) Transmission
      110.000    0.0192279
      110.100    0.0185436
      110.200    0.0177269
      110.300    0.0167918
      110.400    0.0157524
      110.500    0.0146226
      110.600    0.0134165
      110.700    0.0121481
      110.800    0.0108313
      110.900   0.00948032
      111.000   0.00810911
      111.100   0.00673168
      111.200   0.00536203
      111.300   0.00401410
      111.400   0.00270210
      111.500   0.00143995
      111.600  0.000241671
      111.700 -0.000878717
      111.800  -0.00190727
      111.900  -0.00282981
      112.000  -0.00363241
      112.100  -0.00430104
      112.200  -0.00482168
      112.300  -0.00518033
      112.400  -0.00536293
      112.500  -0.00535548
      112.600  -0.00514513
      112.700  -0.00474051
      112.800  -0.00416907
      112.900  -0.00345901
      113.000  -0.00263844
      113.100  -0.00173549
      113.200 -0.000778291
      113.300  0.000205107
      113.400   0.00118642
      113.500   0.00213758
      113.600   0.00303047
      113.700   0.00383695
      113.800   0.00452894
      113.900   0.00507820
      114.000   0.00545666
      114.100   0.00535364
      114.200   0.00481721
      114.300   0.00411273
      114.400   0.00326821
      114.500   0.00231148
      114.600   0.00127044
      114.700  0.000172963
      114.800 -0.000953141
      114.900  -0.00207981
      115.000  -0.00317925
      115.100  -0.00422357
      115.200  -0.00518487
      115.300  -0.00603534
      115.400  -0.00674695
      115.500  -0.00729188
      115.600  -0.00738222
      115.700  -0.00706097
      115.800  -0.00657898
      115.900  -0.00596156
      116.000  -0.00523394
      116.100  -0.00442136
      116.200  -0.00354908
      116.300  -0.00264227
      116.400  -0.00172633
      116.500 -0.000826435
      116.600  3.21636e-05
      116.700  0.000824215
      116.800   0.00152452
      116.900   0.00210772
      117.000   0.00254862
      117.100   0.00258368
      117.200   0.00224818
      117.300   0.00177648
      117.400   0.00119081
      117.500  0.000513318
      117.600 -0.000233830
      117.700  -0.00102846
      117.800  -0.00184848
      117.900  -0.00267157
      118.000  -0.00347564
      118.100  -0.00423852
      118.200  -0.00493803
      118.300  -0.00555204
      118.400  -0.00605830
      118.500  -0.00643469
      118.600  -0.00644161
      118.700  -0.00610250
      118.800  -0.00563556
      118.900  -0.00506239
      119.000  -0.00440450
      119.100  -0.00368342
      119.200  -0.00292069
      119.300  -0.00213779
      119.400  -0.00135638
      119.500 -0.000597930
      119.600  0.000116018
      119.700  0.000763928
      119.800   0.00132430
      119.900   0.00177551
      120.000   0.00209608
      120.100   0.00203966
      120.200   0.00162044
      120.300   0.00106832
      120.400  0.000406981
      120.500 -0.000340009
      120.600  -0.00114904
      120.700  -0.00199651
      120.800  -0.00285887
      120.900  -0.00371239
      121.000  -0.00453352
      121.100  -0.00529867
      121.200  -0.00598421
      121.300  -0.00656659
      121.400  -0.00702211
      121.500  -0.00732721
      121.600  -0.00722318
      121.700  -0.00671898
      121.800  -0.00606140
      121.900  -0.00527654
      122.000  -0.00439035
      122.100  -0.00342882
      122.200  -0.00241797
      122.300  -0.00138370
      122.400 -0.000352173
      122.500  0.000650691
      122.600   0.00159889
      122.700   0.00246644
      122.800   0.00322739
      122.900   0.00385561
      123.000   0.00432519
      123.100   0.00438336
      123.200   0.00404114
      123.300   0.00354378
      123.400   0.00291525
      123.500   0.00217940
      123.600   0.00136013
      123.700  0.000481315
      123.800 -0.000433209
      123.900  -0.00135941
      124.000  -0.00227348
      124.100  -0.00315151
      124.200  -0.00396962
      124.300  -0.00470397
      124.400  -0.00533055
      124.500  -0.00582553
      124.600  -0.00601019
      124.700  -0.00590436
      124.800  -0.00568297
      124.900  -0.00535928
      125.000  -0.00494654
      125.100  -0.00445798
      125.200  -0.00390684
      125.300  -0.00330632
      125.400  -0.00266976
      125.500  -0.00201035
      125.600  -0.00134133
      125.700 -0.000675949
      125.800 -2.73973e-05
      125.900  0.000590983
      126.000   0.00116600
      126.100   0.00168012
      126.200   0.00216977
      126.300   0.00264750
      126.400   0.00310553
      126.500   0.00353622
      126.600   0.00393188
      126.700   0.00428481
      126.800   0.00458734
      126.900   0.00483174
      127.000   0.00501034
      127.100   0.00511545
      127.200   0.00513937
      127.300   0.00507440
      127.400   0.00491288
      127.500   0.00464709
      127.600   0.00385637
      127.700   0.00242961
      127.800  0.000816998
      127.900 -0.000919723
      128.000  -0.00271920
      128.100  -0.00452007
      128.200  -0.00626046
      128.300  -0.00787941
      128.400  -0.00931496
      128.500   -0.0105061
      128.600   -0.0113910
      128.700   -0.0119081
      128.800   -0.0119963
