name,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
0,588016879359492360,117.13701105,19.37132313,3644,41,4,40,STAR,19.105782,18.701864,18.695148,18.598827,18.529638
1,587739377233494207,130.73302587,22.57553901,4569,40,4,131,STAR,20.623468,19.123692,18.876184,18.564573,18.301857
2,587728881418240077,163.66357295,5.5926203,2125,40,6,300,STAR,21.238342,20.24515,19.809658,19.194542,19.347805
3,587725773460537375,123.60341513,47.45636628,1402,40,1,117,STAR,19.165319,19.128859,18.72534,18.699644,18.705462
4,587727944563359947,132.97669253,2.24252009,1907,40,5,69,STAR,19.37311,19.430727,19.203297,19.200254,19.211481
5,587741490911379704,175.06535385,30.1150846,5061,40,5,392,STAR,25.34392,21.757792,19.781719,19.320866,18.861334
6,587722983898742818,205.48696703,0.50287378,752,40,5,414,STAR,19.354063,19.295059,19.045935,19.006502,19.048372
7,587734622700699900,120.83368564,25.43400704,3462,40,4,70,STAR,18.02232,17.679121,17.813536,17.661888,17.571049
8,587739708490252434,231.78990675,22.30058401,4646,40,5,244,STAR,19.576178,19.321636,19.068722,18.864275,18.91132
9,587739720305213671,230.3698585,21.69563759,4649,40,3,302,STAR,20.147293,19.802994,19.403669,19.152514,19.143904
10,587748927622873342,163.67975991,-1.1171713,6793,40,1,20,GALAXY,22.16979,20.791218,20.135822,19.375267,19.020895
11,587729751671832717,252.02315683,36.14030882,2328,40,3,84,STAR,19.353905,19.058756,19.09746,18.97698,19.058096
12,587735695913189573,210.22397257,54.50338236,3712,40,3,185,STAR,24.422558,21.784058,19.813599,19.304852,18.92853
13,587736803471458386,194.95615685,14.09640915,3970,40,2,87,STAR,19.717798,19.453932,19.337141,19.101574,19.086437
14,587739376703832120,147.59602622,29.03690684,4569,40,3,241,STAR,19.0895,18.665262,18.233274,18.14916,18.074171
15,587741420564840585,132.24840722,20.59425575,5045,40,2,141,STAR,18.896986,18.811317,18.586248,18.53083,18.398342
16,587729387675385894,131.74217435,46.83640762,2243,40,5,115,STAR,19.519142,19.389641,19.244621,19.13225,18.865082
17,587729157892735049,194.86474852,4.02455095,2190,40,1,86,STAR,19.478292,18.705702,18.723106,18.551958,18.247458
18,587732578296332501,129.19795831,4.3706809,2986,40,4,71,STAR,18.073891,17.987137,17.84746,17.454218,17.617785
19,587741600964345889,200.2208864,25.99431377,5087,40,2,307,STAR,19.135818,19.055847,18.898426,18.997288,19.04307
20,587745539434086640,127.20483229,8.9819076,6004,40,2,74,STAR,18.95455,18.404964,18.323864,18.164753,18.03174
21,588017991758184538,192.08874737,10.26264455,3903,41,4,73,STAR,19.35743,18.978121,18.623243,18.569672,18.133911
22,587739132964175928,235.35050188,27.01684095,4512,40,5,237,GALAXY,19.016716,18.844149,18.690128,18.564648,18.177759
23,587732702850581021,125.1953387,4.11374705,3015,40,4,74,STAR,19.864054,19.712624,19.651424,19.495132,19.424562
24,587735663161835620,155.00498569,39.43263212,3704,40,6,151,STAR,22.060499,20.257504,20.052076,20.089067,20.01232
25,587729231445753985,254.81060489,38.15023038,2207,40,2,112,STAR,18.681364,18.108828,18.126913,18.114975,17.850441
26,587744874787963127,127.59042138,11.36071579,5849,40,4,75,STAR,20.645004,20.207245,20.325998,20.139673,19.840221
27,588017114517274752,215.35268854,42.5008919,3699,41,2,167,STAR,18.499002,18.226255,17.933029,17.863596,17.706715
28,587734303809077456,344.85641023,-0.83901663,3388,40,2,218,STAR,20.320637,19.673119,19.755844,19.72793,19.330355
29,588007004696150143,121.29787027,43.50673434,1345,41,3,91,STAR,18.853277,18.306585,18.160797,18.112617,17.909254
30,587738948290215941,172.32624402,40.06027941,4469,40,5,384,STAR,19.23275,19.026951,19.014582,19.109253,18.974072
31,588297863640187208,131.55124274,32.3102226,3530,42,2,101,STAR,21.861261,21.320793,20.845594,20.824482,20.492363
32,588298663584399382,218.92655758,42.55563861,3716,42,4,201,STAR,19.593548,19.335733,19.11742,18.829235,18.540964
33,587741816787959817,163.23161094,23.59149143,5137,40,4,330,STAR,19.432589,19.155895,18.772314,18.683048,18.774162
34,587739646205362243,160.17755039,28.97959394,4632,40,1,124,STAR,19.237921,18.995649,18.934034,18.831293,19.068422
35,587739406802026534,235.85348208,23.58225351,4576,40,3,751,STAR,19.715321,19.419901,19.327482,19.169819,18.885628
36,588017604135944388,150.31810465,38.74827744,3813,41,2,51,STAR,20.012268,19.488457,19.215504,19.16008,19.051626
37,587726033858658391,178.89340429,3.40307201,1462,40,6,357,STAR,19.166309,18.817553,18.898584,18.785542,18.776205
38,587738948292313208,178.55779318,40.50005453,4469,40,5,416,STAR,21.913462,20.386726,20.352818,20.347586,20.11245
39,587726102032023806,240.40983514,3.31253016,1478,40,5,216,STAR,19.709328,19.226843,19.092976,18.837936,18.523823
40,588015510365733016,51.70953798,0.98923128,3325,41,6,453,STAR,21.070564,20.530592,20.268185,20.043156,20.132288
41,587733410990653670,235.80991341,41.87424591,3180,40,3,186,STAR,21.746885,21.048758,20.15616,19.520731,19.218771
42,587725551189950962,112.18089681,34.97022126,1350,40,3,25,STAR,20.855543,19.882296,19.690485,19.611492,19.498323
43,587738947756818585,182.82028384,40.37897462,4469,40,4,437,STAR,21.151258,20.261065,20.257343,20.351648,19.942888
44,587738569238577320,180.68753483,14.87495739,4381,40,3,67,STAR,21.782494,19.107798,18.387056,18.226479,18.154751
45,587725039014772849,172.1924022,-3.53167945,1231,40,1,20,STAR,20.802439,20.38756,20.210407,19.873226,19.828735
46,588848900455006213,192.41082523,0.40541214,756,44,4,512,STAR,19.740232,19.342155,19.039028,18.757854,18.852753
47,587731886807056437,118.75097204,32.6014259,2825,40,4,78,STAR,19.288927,19.202394,18.926147,18.891138,18.881765
48,587741533844799577,135.23146307,21.26595232,5071,40,5,144,STAR,18.385019,18.134182,18.016151,17.782492,17.736143
49,588297865258008672,148.30327744,41.92552265,3530,42,5,211,STAR,19.721388,19.744766,19.763966,19.445654,19.346584
50,588010360148459636,153.6490501,5.00676801,2126,41,5,230,STAR,19.034189,18.699917,18.719639,18.607023,18.561382
51,588017977802358989,139.08644476,29.52239076,3900,41,2,116,STAR,21.576576,20.396955,20.217655,20.288214,20.202354
52,587739647817744434,164.37871455,31.08675038,4632,40,4,151,STAR,19.546206,19.388109,19.235958,19.382263,19.368212
53,588017625075089420,164.64401873,41.98127554,3818,41,1,69,STAR,19.431482,19.128611,18.921848,18.916748,18.862831
54,587742013839441977,229.75840514,16.37658744,5183,40,3,633,STAR,18.909559,18.994745,18.587917,18.509687,18.507061
55,587739406783283302,188.07843811,34.70917585,4576,40,3,465,STAR,20.165792,20.158278,19.931152,19.95005,20.052406
56,587738947754721433,176.53488087,39.96999384,4469,40,4,405,STAR,20.427277,20.388567,20.132668,20.103342,20.655636
57,587724649790308557,171.76983688,-2.09865086,1140,40,4,126,STAR,20.497169,20.094549,19.872307,19.77495,19.50029
58,587731499724439656,161.61857635,54.92785259,2735,40,3,98,STAR,23.789724,20.17939,19.29229,19.076092,18.928761
59,587726032779018259,165.31845455,2.36997118,1462,40,4,267,STAR,19.250216,19.017746,19.051264,18.842247,18.946009
60,587726015092883508,234.70460222,1.49428868,1458,40,3,734,STAR,18.307974,18.151253,17.893917,17.930832,17.990253
61,587739609166250103,190.25868376,32.4006404,4623,40,4,200,STAR,20.695126,20.359091,20.222359,19.913315,19.919563
62,587741532779118748,154.69445958,26.39972072,5071,40,3,267,GALAXY,21.204767,19.642609,18.654369,18.343252,17.806875
63,587731512083021947,51.00868506,-0.50985479,2738,40,2,259,STAR,20.058107,19.993456,19.502897,19.460852,19.470831
64,587742629067227314,235.20453697,11.92570723,5326,40,5,232,STAR,18.501062,18.2822,18.119053,18.016348,18.076462
65,587731681185169765,118.45499517,30.59721586,2777,40,5,73,STAR,21.48238,21.09729,21.024122,20.888683,20.423958
66,588010359072161803,147.71075484,3.87637847,2126,41,3,191,STAR,19.788876,19.607052,19.26265,19.226898,19.35955
67,587731186197332175,344.9574448,-0.0705551,2662,40,3,182,STAR,20.438515,20.45899,20.194469,20.034449,20.158035
68,588017977836896330,232.28212873,28.70896543,3900,41,2,643,STAR,19.468117,19.282419,19.248453,19.075979,19.0191
69,588015508210647058,34.30575923,-0.75748859,3325,41,2,337,STAR,19.381903,19.035923,18.860044,18.769287,18.602972
70,587736805082923039,197.0505249,15.29930705,3970,40,5,100,STAR,19.364012,19.348949,19.118427,19.089771,19.163771
71,587742062693580885,209.60549781,21.5873754,5194,40,6,616,STAR,19.565725,18.914293,18.972939,18.770319,18.92717
72,588009367479713900,162.58821494,60.93341135,1895,41,4,315,STAR,20.138601,20.104284,19.882053,19.808838,19.720999
73,587742627990339587,227.74366839,12.79926747,5326,40,3,184,STAR,18.470398,18.437859,18.423803,18.22867,18.042061
74,588017722258489433,193.77183108,43.06537621,3840,41,6,218,GALAXY,19.673271,19.185411,18.532513,18.348124,17.824598
75,587734840669110436,119.39128434,23.55520482,3513,40,2,52,STAR,18.813189,18.738068,18.397535,18.422707,18.507135
76,587735666378277030,207.48829051,55.78412075,3705,40,4,78,STAR,20.497341,20.180252,20.205236,20.206701,19.985725
77,587742061061406721,156.72553327,19.71946087,5194,40,3,287,STAR,19.247185,19.242174,19.219517,18.923576,18.948549
78,588017109682880549,176.02227086,46.06825748,3698,41,1,128,STAR,18.965368,18.641722,18.734661,18.558388,18.370844
79,587728881413062832,151.876951,5.16176424,2125,40,6,221,STAR,20.366949,20.132866,19.899029,19.785147,19.544819
80,588297865266659403,175.28430183,47.78170332,3530,42,5,343,STAR,18.32217,18.257883,18.063137,18.084789,18.230448
81,587735662082457754,140.75732405,33.45872385,3704,40,4,65,STAR,20.55302,20.547472,20.468752,20.246859,20.281681
82,587731521740669207,128.71089222,38.56029174,2740,40,4,167,STAR,24.670412,20.26173,19.785172,19.688282,19.55438
83,587742775638229037,193.95648136,18.2271564,5360,40,6,312,STAR,19.225822,19.081654,18.901497,18.845026,18.841028
84,587725550657274114,118.94413589,42.95587424,1350,40,2,89,STAR,20.072359,19.71069,19.836628,19.586866,19.489395
85,587739096455512154,193.1157049,36.2100166,4504,40,1,215,STAR,19.022118,18.879391,18.716452,18.719423,18.860477
86,587734305954201736,339.35471099,0.92008271,3388,40,6,182,GALAXY,21.12989,20.552128,19.987036,19.461815,19.076923
87,588015508738146363,12.96979938,-0.41762087,3325,41,3,194,STAR,18.998005,19.046293,18.755136,18.686014,18.851917
88,588018091087364107,253.37990228,22.56682299,3926,41,5,196,STAR,19.589315,19.38817,19.127783,19.098314,19.061949
89,587732582592348243,165.96868197,58.82320138,2987,40,4,87,STAR,19.265577,18.973726,18.739016,18.731594,18.879368
90,587725492135985161,259.21810208,59.03339417,1336,40,5,53,STAR,19.684917,19.076361,18.752678,18.72316,18.566267
91,587732576702169096,166.86031564,5.97897986,2986,40,1,322,STAR,18.651089,18.583834,18.509037,18.276182,18.152731
92,587739647813812386,154.28863971,29.04482211,4632,40,4,91,STAR,20.593916,20.126045,19.935526,19.740852,20.109385
93,587731513151062143,38.0045362,0.41237702,2738,40,4,172,STAR,20.077896,19.805502,19.914225,19.783279,19.676184
94,588017567636717654,183.6254231,13.42288576,3804,41,6,173,STAR,22.092407,20.227501,20.037558,20.037115,19.968473
95,587725551738421288,134.04136329,56.95405573,1350,40,4,202,GALAXY,18.271566,18.111763,17.72164,17.288345,17.234699
